Algorithm,Vehicle Count,Random Dataset Mean,Random Dataset Std
OLMA_Solver,50,0.07947814532694719,0.012484476494894349
OLMA_Solver,100,0.16079356661995775,0.012508225357157352
OLMA_Solver,150,0.25977628988542173,0.026807089478168344
OLMA_Solver,200,0.32970272545161894,0.05049819845836083
OLMA_Solver,250,0.44416908760655377,0.05483133148756061
OLMA_Solver,300,0.5106048601052733,0.056460305681675094
A3C_GCN_Seq2Seq_Adapter,50,0.135347025654975,0.010221234870523097
A3C_GCN_Seq2Seq_Adapter,100,0.27683434506429955,0.02612343702100689
A3C_GCN_Seq2Seq_Adapter,150,0.39442060875635704,0.03605038357743096
A3C_GCN_Seq2Seq_Adapter,200,0.487445009666584,0.049072902032436784
A3C_GCN_Seq2Seq_Adapter,250,0.6418859752648259,0.045471386237267625
A3C_GCN_Seq2Seq_Adapter,300,0.7168872887615351,0.126249556745463
BARGAIN_MATCH_Solver,50,0.2128463316245049,0.012163977696975338
BARGAIN_MATCH_Solver,100,0.3626021736167635,0.04920653611560706
BARGAIN_MATCH_Solver,150,0.609719313125083,0.057359401159926486
BARGAIN_MATCH_Solver,200,0.812712854699714,0.052351861266111736
BARGAIN_MATCH_Solver,250,1.0099305342537224,0.15499177453439145
BARGAIN_MATCH_Solver,300,1.2132362940766008,0.09428066246015492
NOMA_VEC_Solver,50,0.26017953095953666,0.03918937616738838
NOMA_VEC_Solver,100,0.5091062161787827,0.040879701860756346
NOMA_VEC_Solver,150,0.709230472904781,0.071674455118433
NOMA_VEC_Solver,200,0.9984349720587293,0.10888358045466345
NOMA_VEC_Solver,250,1.239752497894668,0.08066391848978398
NOMA_VEC_Solver,300,1.4961083925148584,0.20195817948769748
OORAA_Solver,50,0.15711796727488858,0.009726994307456589
OORAA_Solver,100,0.3365501015867538,0.04474148503428095
OORAA_Solver,150,0.5089585547861868,0.07377317102263309
OORAA_Solver,200,0.6169482395922008,0.038386412256001645
OORAA_Solver,250,0.7830029581598323,0.13335578044334503
OORAA_Solver,300,0.9866844827008088,0.08197234983616902
