Algorithm,Vehicle Count,Random Dataset Mean,Random Dataset Std
OLMA_Solver,50,239071.37371657757,10837.241702375277
OLMA_Solver,100,496453.6322103761,49032.43750840974
OLMA_Solver,150,773851.3343054893,70003.83636569083
OLMA_Solver,200,1013503.3015736099,25349.48703088152
OLMA_Solver,250,1223386.1630221978,147387.92452823685
OLMA_Solver,300,1338323.3686302076,75119.88927113953
A3C_GCN_Seq2Seq_Adapter,50,404835.16790019954,62965.404730174654
A3C_GCN_Seq2Seq_Adapter,100,864183.0306040293,145521.41583392728
A3C_GCN_Seq2Seq_Adapter,150,1289435.8661891075,68576.7116169073
A3C_GCN_Seq2Seq_Adapter,200,1504344.573060221,97565.17051138538
A3C_GCN_Seq2Seq_Adapter,250,2055116.6577590525,195022.13533074158
A3C_GCN_Seq2Seq_Adapter,300,2546142.5321619348,145520.11220055702
BARGAIN_MATCH_Solver,50,1317004468.6052356,241390732.19729897
BARGAIN_MATCH_Solver,100,2619982693.0524178,280419846.7592743
BARGAIN_MATCH_Solver,150,3970131192.7743554,458832512.5508673
BARGAIN_MATCH_Solver,200,5288006436.939954,576142435.0102959
BARGAIN_MATCH_Solver,250,6812767349.870996,436220521.53532976
BARGAIN_MATCH_Solver,300,7941300709.9717455,977724078.3005971
NOMA_VEC_Solver,50,2116266988.7680068,236366437.1770654
NOMA_VEC_Solver,100,3847543318.802211,394592374.2484586
NOMA_VEC_Solver,150,6012013572.448069,656729794.485437
NOMA_VEC_Solver,200,7973588739.063393,1345227859.640067
NOMA_VEC_Solver,250,10471061535.794456,824411142.4184828
NOMA_VEC_Solver,300,11947629792.469803,1569197344.668184
OORAA_Solver,50,576642761.2039287,33674101.32108567
OORAA_Solver,100,1160192991.3926482,116368760.37373687
OORAA_Solver,150,1809992856.617138,168467500.6338922
OORAA_Solver,200,2340109494.7784147,116779503.80569492
OORAA_Solver,250,2851556778.9014525,255597132.613909
OORAA_Solver,300,3133284352.9816446,122467629.6163545
