算法,车辆数,随机数据集平均值,随机数据集标准差
OLMA_Solver,50,0.008442980805255148,0.0008635469049452728
OLMA_Solver,100,0.01745548621862238,0.0016157014487955576
OLMA_Solver,150,0.02464973332705385,0.0017970197965158188
OLMA_Solver,200,0.03401879766708993,0.0011309426778579631
OLMA_Solver,250,0.04004340850320027,0.0016316957206603752
OLMA_Solver,300,0.051669766763126214,0.006705983799040463
A3C_GCN_Seq2Seq_Adapter,50,0.011254775729440895,0.0007454754522032117
A3C_GCN_Seq2Seq_Adapter,100,0.023821843388702343,0.002412302014505708
A3C_GCN_Seq2Seq_Adapter,150,0.035906084369401604,0.001835868256982346
A3C_GCN_Seq2Seq_Adapter,200,0.04974311063315853,0.006227990782373772
A3C_GCN_Seq2Seq_Adapter,250,0.062360966448214,0.007360701307079883
A3C_GCN_Seq2Seq_Adapter,300,0.07332696079999815,0.0058240114762807315
BARGAIN_MATCH_Solver,50,0.026091879725230416,0.0021506534219615067
BARGAIN_MATCH_Solver,100,0.04925586873240683,0.0023306750071287923
BARGAIN_MATCH_Solver,150,0.0717142572375797,0.0071809316065211005
BARGAIN_MATCH_Solver,200,0.09166057401649062,0.011193973421253032
BARGAIN_MATCH_Solver,250,0.12045172523344239,0.011551411245659813
BARGAIN_MATCH_Solver,300,0.144199085090594,0.018569305158850916
NOMA_VEC_Solver,50,0.03343286530478239,0.005460370181544219
NOMA_VEC_Solver,100,0.06557785642987413,0.0065050298991420775
NOMA_VEC_Solver,150,0.10073853557746433,0.009648864750733123
NOMA_VEC_Solver,200,0.13422950418858098,0.011369972493847094
NOMA_VEC_Solver,250,0.1673009361536042,0.01935459292489963
NOMA_VEC_Solver,300,0.19354521443379102,0.02946218532572695
OORAA_Solver,50,0.02037889573687514,0.0013805096747282809
OORAA_Solver,100,0.040120354034709226,0.0008201249461249354
OORAA_Solver,150,0.06122717909239154,0.004696343594378682
OORAA_Solver,200,0.0846951775153374,0.004586781607030055
OORAA_Solver,250,0.0946375595965612,0.00851470840827876
OORAA_Solver,300,0.11204196046847525,0.01385254275445445
